uniprot_id,ec,organism
A0A0H2ZB32,1.8.1.4,Pseudomonas aeruginosa
A9CEQ8,5.5.1.27,Agrobacterium fabrum
A1TH50,2.7.1.175,Mycolicibacterium vanbaalenii
P33284,2.7.1.1,Kluyveromyces lactis
D9TQ00,unknown,Thermoanaerobacterium thermosaccharolyticum
P26236,2.1.1.11,Rhodobacter capsulatus
Q5EFR9,3.2.1.8,Bacillus pumilus
A8HYF7,3.4.21.53,Azorhizobium caulinodans
Q0ZS21,7.1.2.2,Clostridium paradoxum
A8QYB2,unknown,Pseudomonas aeruginosa
D0KN27,5.6.2.4,Saccharolobus solfataricus
Q65KZ6,2.3.2.2,Bacillus licheniformis
Q9UUA2,3.6.4.12,Schizosaccharomyces pombe
Q6H8Y0,unknown,Streptococcus suis
D8LI09,1.1.1.17,Ectocarpus siliculosus
A8YPP3,unknown,Burkholderia glumae
Q79ZT3,unknown,Streptomyces avermitilis
Q9HFQ1,1.1.3.4,Aspergillus niger
P42527,2.7.11.7,Dictyostelium discoideum
O67848,2.7.2.8,Aquifex aeolicus
Q73Y99,3.8.1.5,Mycolicibacterium paratuberculosis
W5RWH8,3.4.24.-,Geobacillus thermoleovorans
Q9AQQ9,1.11.1.6,Bacillus subtilis
Q93CG9,unknown,Photobacterium profundum
Q9UWP2,6.1.1.16,Methanococcus maripaludis
I3XLC2,unknown,Bacillus pumilus
Q2HQR7,1.2.1.9,Clostridium pasteurianum
A0A0U5B5Z4,3.2.1.8,Microcella alkaliphila
Q2V621,3.2.1.106,Candida albicans
D3PT81,1.1.1.86,Meiothermus ruber
Q5JFV8,unknown,Thermococcus kodakarensis
P55250,4.2.1.2,Rhizopus oryzae
A5U8X0,5.6.2.1,Mycobacterium tuberculosis
A2BJU2,2.5.1.23,Hyperthermus butylicus
C9K501,unknown,Acetobacter pasteurianus
P46920,7.6.2.9,Bacillus subtilis
A5U4I2,6.3.2.9,Mycobacterium tuberculosis
B0SN40,2.3.3.13,Leptospira biflexa serovar Patoc
A0A0H2Z9F5,1.8.1.4,Pseudomonas aeruginosa
O66036,2.7.7.4,Allochromatium vinosum
O00085,3.1.3.-,Aspergillus terreus
G3MDB2,unknown,Brevundimonas diminuta
E4Q2A4,3.2.1.8,Caldicellulosiruptor owensensis
Q47RA9,1.6.99.-,Thermobifida fusca
Q88P48,unknown,Pseudomonas putida
A0LT86,5.3.1.4,Acidothermus cellulolyticus
P81409,2.7.7.7,Pyrococcus furiosus
P9WJL3,6.3.2.13,Mycobacterium tuberculosis
P55329,3.2.1.8,Aspergillus niger
C1L336,4.2.1.1,Sordaria macrospora
Q51548,1.14.13.195,Pseudomonas aeruginosa
J3T995,unknown,Mycoplasmoides gallisepticum WI01_2001.043-13-2P
P21161,4.5.1.3,Methylorubrum extorquens
Q5A3V6,4.1.99.12,Candida albicans
P45470,3.1.2.-,Escherichia coli
P60781,3.1.26.5,Methanococcus maripaludis
Q9KJ21,2.1.1.157,Halorhodospira halochloris
V9NGQ2,1.2.7.1,Pseudothermotoga hypogea
Q8U4G1,2.5.1.23,Pyrococcus furiosus
B8R7Q2,2.4.1.15,Rubrobacter xylanophilus
Q6H8X5,unknown,Streptococcus suis
Q9KZL6,unknown,Streptomyces coelicolor
Q9LAH7,3.1.1.2,Lactobacillus helveticus
Q2U9Z9,unknown,Aspergillus oryzae
V9NGI4,1.2.7.1,Pseudothermotoga hypogea
Q76M73,unknown,Thermococcus profundus
P27833,2.6.1.59,Escherichia coli
Q1J0Z5,5.4.99.16,Deinococcus geothermalis
Q2I2N5,2.4.1.5,Leuconostoc mesenteroides
Q92WA3,5.1.3.2,Rhizobium meliloti
P0A6U5,2.1.1.170,Escherichia coli
A8N3P5,unknown,Coprinopsis cinerea
A2TBB4,3.1.3.8,Debaryomyces castellii
A4H990,unknown,Leishmania braziliensis
Q81PP9,3.5.1.9,Bacillus anthracis
B0V8W9,unknown,unknown
Q97XQ7,unknown,Saccharolobus solfataricus
Q84H44,2.3.3.15,Castellaniella defragrans
A3MV85,2.7.6.1,Pyrobaculum calidifontis
Q9HH09,6.3.1.2,Sulfolobus acidocaldarius
Q2SWW9,1.1.1.205,Burkholderia thailandensis
Q0MVP3,3.1.1.-,Geotrichum candidum
A0A0B4RUW2,3.2.1.21,Rhizomucor miehei
B0I1V1,unknown,Mycobacterium avium subsp. avium
W8QRE4,3.2.1.37,Phanerodontia chrysosporium
Q74HL8,1.5.1.36,Lactobacillus johnsonii
C4LU94,6.1.1.2,Entamoeba histolytica
B6V876,3.2.1.78,Aspergillus niger
Q7B9Y8,unknown,Levilactobacillus brevis
P85513,4.2.2.25,Geobacillus stearothermophilus
Q3M723,4.3.3.7,Trichormus variabilis
P63479,5.1.1.1,Staphylococcus aureus
O87943,4.1.99.11,Thauera aromatica
Q56320,5.3.1.24,Thermotoga maritima
A5K8L9,2.1.2.1,Plasmodium vivax
A5U4N0,2.7.1.20,Mycobacterium tuberculosis
Q5GMP2,2.4.1.213,Stenotrophomonas rhizophila
P20906,4.1.1.7,Pseudomonas putida
Q9NAT4,6.2.1.13,Entamoeba histolytica
Q9HK44,2.7.1.186,Thermoplasma acidophilum
P50465,3.2.2.-,Escherichia coli
Q59329,3.5.5.1,Comamonas testosteroni
H3ZMH8,unknown,Thermococcus litoralis
Q4QZ27,1.11.1.-,Pleurotus sapidus
P10442,3.1.26.4,Escherichia coli
Q9C4M5,1.1.1.26,Thermococcus litoralis
Q45VU2,3.2.1.8,Bacillus subtilis
Q50539,2.1.1.245,Methanosarcina thermophila
Q88JP1,unknown,Pseudomonas putida
P69910,4.1.1.15,Escherichia coli
A0A140N932,6.3.4.2,Escherichia coli
Q8TFE5,3.2.1.3,Saccharomycopsis fibuligera
Q2HQR8,1.2.1.9,Clostridium perfringens
A8CIU9,unknown,Klebsiella pneumoniae
Q4JB88,unknown,Sulfolobus acidocaldarius
A0SWS4,3.2.1.23,Lactobacillus acidophilus
C7FLN0,2.4.2.1,Halalkalibacterium halodurans
B8ZJH0,6.3.1.2,Haloferax mediterranei
Q70DK5,3.2.1.-,Acetivibrio thermocellus
Q88L96,unknown,Pseudomonas putida
A0A2H4QH72,unknown,Streptomyces cyaneofuscatus
B7XBM0,5.4.99.2,Euglena gracilis
Q2I0L7,6.2.1.1,Methanothermobacter thermautotrophicus
Q82IV1,4.2.3.-,Streptomyces avermitilis
P60832,3.1.26.5,Methanococcus maripaludis
H2ESB9,3.1.1.-,Phanerodontia chrysosporium
Q9RWN5,unknown,Deinococcus radiodurans
Q9YDW0,6.1.1.3,Aeropyrum pernix
Q1MLL4,1.1.1.16,Rhizobium johnstonii
Q97YI7,2.3.3.9,Saccharolobus solfataricus
B1N1A2,1.14.13.163,Pseudomonas putida
C4M0W5,3.5.1.89,Entamoeba histolytica
E0XF09,1.16.1.1,Serratia marcescens
Q5SJG5,unknown,Thermus thermophilus
Q97U35,1.1.1.95,Saccharolobus solfataricus
Q65CX5,3.2.1.-,Bacillus licheniformis
P53052,3.1.3.6,Yersinia enterocolitica
Q75ZW9,3.2.1.14,Clostridium paraputrificum
Q56265,3.2.1.8,Thermobifida fusca
Q9XC59,unknown,Pseudomonas aeruginosa
A9NG65,unknown,Acholeplasma laidlawii
Q01693,3.4.11.10,Vibrio proteolyticus
O30012,1.3.1.12,Archaeoglobus fulgidus
P90648,2.7.11.7,Dictyostelium discoideum
D6QST5,3.2.1.55,Aspergillus niger
V4GH04,unknown,unknown
Q88IJ7,1.1.1.25,Pseudomonas putida
G1UII1,1.4.1.16,Ureibacillus thermosphaericus
Q12721,6.4.1.2,Ustilago maydis
Q9V1F9,4.1.3.44,Pyrococcus abyssi
F1AQF9,unknown,Trichomonas vaginalis
P43127,1.5.1.-,Vibrio harveyi
G0ZDR5,unknown,Flammeovirga yaeyamensis
O29057,6.2.1.13,Archaeoglobus fulgidus
P61111,unknown,Thermococcus kodakarensis
Q5SJ01,2.2.1.6,Thermus thermophilus
Q65GB9,3.2.1.99,Bacillus licheniformis
B3EYM8,3.2.1.99,Geobacillus stearothermophilus
P37303,4.1.2.48,Saccharomyces cerevisiae
A0A0H3NGZ8,7.4.2.8,Salmonella typhimurium
Q8TZL5,4.1.1.31,Pyrococcus furiosus
E2RV69,3.8.1.5,Rhizobium radiobacter
I3PML9,3.2.1.78,Penicillium sp. F63 XC-2012
Q7LXU1,unknown,Saccharolobus solfataricus
E7FHC0,unknown,Pyrococcus furiosus
O33468,1.2.4.1,Pseudomonas putida
Q8TXY4,1.5.98.2,Methanopyrus kandleri
Q83WC3,2.1.1.157,Aphanothece halophytica
Q72IH5,2.1.1.256,Thermus thermophilus
O68541,3.2.1.8,Cellvibrio mixtus
D4H6M0,2.4.1.13,Denitrovibrio acetiphilus
I7FDJ2,1.1.3.13,Aspergillus terreus
Q9HIM3,unknown,Thermoplasma acidophilum
Q65J10,5.3.1.4,Bacillus licheniformis
A6VQP8,unknown,Actinobacillus succinogenes
T1WFD0,unknown,Catenovulum agarivorans YM01
Q97ZF9,unknown,Saccharolobus solfataricus
Q973W5,6.2.1.36,Sulfurisphaera tokodaii
Q9HKZ0,unknown,Thermoplasma acidophilum
P0ABK9,1.7.2.2,Escherichia coli
A0EJ12,unknown,Burkholderia cepacia
Q06803,unknown,Brachyspira hyodysenteriae
Q5F809,unknown,Neisseria gonorrhoeae
Q6QHE9,3.2.1.41,Anaerobranca gottschalkii
Q5JIE9,unknown,Thermococcus kodakarensis
Q1JU60,4.1.1.22,Photobacterium damselae
Q0ZS22,unknown,Clostridium paradoxum
Q9HJT3,2.7.1.20,Thermoplasma acidophilum
O31667,3.1.3.87,Bacillus subtilis
Q5SH52,3.5.4.16,Thermus thermophilus
Q8GMY0,3.2.1.73,Bacillus licheniformis
Q5W9U0,unknown,Rhizopus oryzae
F2YZ26,3.5.2.6,Acinetobacter baumannii
Q2V0H1,4.3.1.19,Pyrobaculum islandicum
A3DEX4,unknown,Acetivibrio thermocellus
A0A075Q354,4.1.1.1,Gluconacetobacter diazotrophicus
Q8J1V6,3.2.1.8,Thermochaetoides thermophila
P26093,unknown,Haemophilus influenzae
E5F146,1.1.1.344,Kitasatospora kifunensis
Q9TZN8,3.1.4.11,Trypanosoma cruzi
Q9WXT2,3.1.1.41,Thermotoga maritima
C6KID9,1.3.99.4,Mycolicibacterium neoaurum
Q58407,6.3.2.32,Methanocaldococcus jannaschii
Q8RJP5,3.1.1.1,Priestia megaterium
Q603D5,1.14.14.17,Methylococcus capsulatus
I7CKJ5,1.1.1.34,Leishmania donovani
O34425,1.2.1.59,Bacillus subtilis
Q5AJZ3,2.5.1.-,Candida albicans
Q5JIZ5,3.4.21.62,Thermococcus kodakarensis
P26208,3.2.1.21,Acetivibrio thermocellus
P12547,3.4.21.63,Aspergillus oryzae
A0A171,unknown,Pyrococcus horikoshii
E3SVS0,unknown,Microbacterium hydrocarbonoxydans
Q5JHT1,3.5.1.1,Thermococcus kodakarensis
Q8X8S5,2.1.1.37,Escherichia coli O157:H7
Q0SJH2,5.2.1.1,Rhodococcus jostii
Q6JE91,unknown,Rhodococcus opacus
A8CGP1,3.2.1.73,Bacillus subtilis
B8QHP1,1.14.14.80,Starmerella bombicola
H9TUK6,unknown,Yersinia kristensenii
I3DX19,1.1.1.244,Bacillus methanolicus PB1
Q756Z6,1.1.1.205,Eremothecium gossypii
Q9K3J3,1.1.1.37,Streptomyces coelicolor
C1K6P2,unknown,Parageobacillus caldoxylosilyticus
D3WYV9,2.4.1.9,Lactobacillus gasseri
A7LB47,1.13.11.2,Stenotrophomonas maltophilia
P75898,1.14.99.46,Escherichia coli
C9E261,1.1.1.22,Burkholderia cepacia
A6N8S2,1.1.1.47,Bacillus subtilis
A0A191KCR0,3.2.1.21,Humicola insolens
Q2FUB2,2.7.1.169,Methanospirillum hungatei JF-1
Q0ZS46,2.5.1.18,Plasmodium vivax
Q9S467,5.3.1.4,Geobacillus stearothermophilus
C4R4L0,unknown,Komagataella phaffii
Q580R7,6.1.1.2,Trypanosoma brucei brucei
Q99PX1,3.5.1.105,Vibrio alginolyticus
D5MTT1,5.3.1.15,Serratia proteamaculans
Q9R4W3,unknown,Pseudomonas fluorescens
Q74HL7,1.5.1.36,Lactobacillus johnsonii
Q5DM89,unknown,Crithidia fasciculata
Q8NU98,2.7.11.1,Corynebacterium glutamicum
B5G555,1.10.3.2,Ganoderma fornicatum
Q08295,3.2.1.10,Saccharomyces cerevisiae
Q50538,unknown,Methanosarcina thermophila
Q58HN1,3.2.1.3,Thermomyces lanuginosus
C7F8M0,5.3.1.4,Bacillus subtilis
I3QNT6,unknown,Bifidobacterium pseudocatenulatum
Q9ABE3,unknown,Caulobacter vibrioides
C4PG45,3.2.1.40,Lactiplantibacillus plantarum
A0A077JN67,unknown,Rubrobacter xylanophilus
Q9UZR7,2.1.1.35,Pyrococcus abyssi
X5JA14,unknown,Coprinus comatus
Q7DH52,3.5.2.6,Pseudomonas aeruginosa
P0A6I6,2.7.7.3,Escherichia coli
Q9I530,unknown,Pseudomonas aeruginosa
H9NJ52,unknown,Mycolicibacterium neoaurum
Q9Y751,2.4.1.-,Komagataella phaffii
Q2VPS0,3.1.3.70,Palaeococcus ferrophilus
A4WRA3,2.5.1.62,Cereibacter sphaeroides
A8NBN1,unknown,Coprinopsis cinerea
Q88LN6,1.3.8.7,Pseudomonas putida
O67575,6.2.1.14,Aquifex aeolicus
H9TUK5,unknown,Hafnia alvei
P39138,3.5.3.1,Bacillus subtilis
Q988H5,unknown,Mesorhizobium japonicum
Q4K423,3.7.1.24,Pseudomonas fluorescens
A0A0E4A9D6,1.1.1.4,Rhodococcus erythropolis
L8B3D7,1.11.1.6,Bifidobacterium asteroides
A0A1S5XVA5,3.1.1.-,Talaromyces piceae
Q9RTB7,2.4.1.18,Deinococcus radiodurans
Q93GB6,unknown,Bacillus subtilis
Q9FDQ9,2.4.1.1,Thermus aquaticus
A5HMI0,unknown,Alcaligenes faecalis
Q9GN79,2.7.9.1,Trypanosoma cruzi
Q2UIM2,3.2.1.55,Aspergillus oryzae
Q5H7M8,3.2.1.99,Penicillium chrysogenum
Q65NY1,3.5.1.2,Bacillus licheniformis
Q5LI17,2.5.1.-,Bacteroides fragilis
Q03BU2,2.3.1.30,Lacticaseibacillus paracasei
V9SDP6,1.1.1.1,Kluyveromyces marxianus
O66747,1.1.1.302,Aquifex aeolicus
Q5UY95,1.1.1.424,Haloarcula marismortui
O64925,2.4.1.-,Chlamydomonas reinhardtii
P50251,3.13.2.1,Pyrococcus furiosus
Q980T5,unknown,Saccharolobus solfataricus
Q95PK8,2.7.2.3,Trypanosoma cruzi
G5ELA4,unknown,Staphylococcus aureus
Q9ADE8,unknown,Streptomyces coelicolor
A4ADB8,unknown,Congregibacter litoralis KT71
Q5XPL5,4.2.1.84,Comamonas testosteroni
Q00012,3.2.1.78,Aspergillus aculeatus
P33025,4.2.1.70,Escherichia coli
Q9UXF5,unknown,Saccharolobus solfataricus
Q6FFQ2,4.2.1.40,Acinetobacter baylyi
R4ZGN4,1.17.1.4,Blastobotrys adeninivorans
Q9HX12,unknown,Pseudomonas aeruginosa
Q58933,2.7.1.164,Methanocaldococcus jannaschii
B8E1T1,5.3.1.25,Dictyoglomus turgidum
Q8X1C7,3.4.11.5,Talaromyces emersonii
A7WNT9,3.2.1.-,Phialemonium thermophilum
Q8RR52,unknown,Photobacterium damsela subsp. piscicida
Q5KR05,3.5.3.12,Selenomonas ruminantium
Q0ZS25,unknown,Clostridium paradoxum
C6WFL3,4.2.3.155,Actinosynnema mirum
F8U969,4.2.1.76,Pyricularia oryzae
A0A0H2X8L7,2.7.2.8,Xanthomonas campestris pv. campestris
P80092,3.4.17.-,Saccharolobus solfataricus
P61879,1.2.1.59,Pyrococcus furiosus
P61883,2.7.2.3,Pyrococcus furiosus
Q99040,3.2.1.70,Streptococcus mutans serotype c
A9WC36,5.4.1.3,Chloroflexus aurantiacus
Q9HMB6,1.1.1.2,Halobacterium salinarum
A0A0F6WMX1,unknown,unknown
D1JGU3,3.5.4.27,Uncultured archaeon
A7UGD9,3.2.1.4,Syncephalastrum racemosum
A4UU76,3.1.3.8,Bacillus licheniformis
Q0CZR3,2.5.1.-,Aspergillus terreus
Q7V6D4,4.1.99.5,Prochlorococcus marinus
O59312,unknown,Pyrococcus horikoshii
Q2MF17,2.6.1.100,Streptoalloteichus tenebrarius
E0RVY7,unknown,Butyrivibrio proteoclasticus
B3TLD6,3.2.1.140,Bifidobacterium bifidum
Q58991,1.1.1.87,Methanocaldococcus jannaschii
Q7KF27,3.4.11.1,Leishmania major
A1U3L3,unknown,Marinobacter nauticus
D7VYA1,unknown,unknown
O59601,4.1.2.43,Pyrococcus horikoshii
P9WNH5,3.7.1.17,Mycobacterium tuberculosis
Q9X265,unknown,Thermotoga maritima
Q84GK1,3.2.1.73,Bacillus licheniformis
P9WFX3,4.1.3.27,Mycobacterium tuberculosis
B3TZD8,6.2.1.5,Advenella kashmirensis
Q99321,3.6.1.52,Saccharomyces cerevisiae
P38298,3.5.1.-,Saccharomyces cerevisiae
Q81DR3,3.1.2.4,Bacillus cereus
Q9X4K2,1.6.5.-,Geobacillus stearothermophilus
Q6UVM5,unknown,Xanthomonas campestris pv. glycines
A9QVV8,1.1.1.307,Candida tropicalis
V5YT97,unknown,Paracoccus denitrificans
Q8PCR8,unknown,Xanthomonas campestris pv. campestris
Q586W9,2.3.1.41,Trypanosoma brucei brucei
O67379,unknown,Aquifex aeolicus
Q9RST7,5.4.99.16,Deinococcus radiodurans
O58212,3.13.2.3,Pyrococcus horikoshii
A9KT32,2.4.1.279,Lachnoclostridium phytofermentans
Q9RGE6,3.2.1.-,Clostridium cellulovorans
Q93PS9,unknown,Comamonas testosteroni
Q9L3J2,3.2.1.4,Acetivibrio thermocellus
Q6QF57,unknown,Rhodococcus pyridinivorans
G4I2J6,unknown,unknown
P31797,2.4.1.19,Geobacillus stearothermophilus
Q8J2Z4,6.3.4.14,Metallosphaera sedula
P43478,3.2.1.83,Pseudoalteromonas carrageenovora
Q7LIJ0,3.2.1.-,Phanerodontia chrysosporium
E1CJT1,3.2.1.3,Cyberlindnera fabianii
P43886,2.3.1.30,Haemophilus influenzae
Q76K51,2.5.1.-,Thermus thermophilus
Q9AJE3,4.2.3.36,Kitasatospora griseola
A5IMX7,3.2.1.78,Thermotoga petrophila
Q8U0Z6,1.12.7.2,Pyrococcus furiosus
P77846,2.5.1.49,Thermoclostridium stercorarium
Q8XMJ5,unknown,Clostridium perfringens
F6KV61,unknown,Methanohalophilus portucalensis FDF-1
Q92223,3.2.1.14,Emericella nidulans
Q8THG2,4.1.1.39,Methanosarcina acetivorans
W8E0Y0,unknown,Rhizobium radiobacter
C6ZHB0,3.2.1.8,Streptomyces thermocarboxydus
B1VC16,2.4.1.19,Paenibacillus pabuli
Q7B8C1,3.1.1.81,Bacillus thuringiensis subsp. morrisoni
P0C2T6,1.1.1.27,Lactococcus lactis subsp. cremoris
Q58085,1.1.1.302,Methanocaldococcus jannaschii
A2QJF7,3.2.1.20,Aspergillus niger
A0A087IPJ7,2.5.1.31,Vibrio vulnificus
P10844,unknown,Clostridium botulinum
Q57757,3.5.3.11,Methanocaldococcus jannaschii
Q6QF56,unknown,Rhodococcus pyridinivorans
A7J1X3,3.5.4.13,Thermococcus onnurineus
Q76KC2,1.1.1.107,Microbacterium luteolum
A0A2C9EVE6,3.7.1.24,Pseudomonas protegens
O52224,2.4.1.5,Leuconostoc mesenteroides
Q2N4T5,6.3.2.4,Helicobacter pylori
Q6GHH5,2.5.1.-,Staphylococcus aureus
Q8KTW7,3.1.1.81,Bacillus thuringiensis serovar pakistani
Q6M0B9,1.1.1.374,Methanococcus maripaludis
P80650,2.1.1.86,Methanosarcina mazei
O28050,1.11.1.21,Archaeoglobus fulgidus
A0A1D0BQV8,3.1.1.-,Rhizoctonia solani
Q97YV9,3.6.1.11,Saccharolobus solfataricus
A0A144KZI7,1.10.3.2,Trametes versicolor
Q9S5V6,5.1.1.1,Peribacillus psychrosaccharolyticus
Q88K54,unknown,Pseudomonas putida
Q9V011,6.1.1.10,Pyrococcus abyssi
P34752,3.1.3.-,Aspergillus niger
P46273,2.7.2.3,Candida albicans
C6Y1N7,unknown,Pedobacter heparinus
P0AGG2,3.1.2.20,Escherichia coli
P15770,1.1.1.25,Escherichia coli
B2Z3P7,unknown,Aeromonas media
P17811,3.4.23.48,Yersinia pestis
I3WU34,3.2.1.41,Exiguobacterium acetylicum
A0A1E7YQH3,unknown,Acidithiobacillus caldus
C9K502,unknown,Acetobacter pasteurianus
Q9K5E4,2.5.1.6,Corynebacterium glutamicum
O66844,unknown,Aquifex aeolicus
O59071,6.3.5.2,Pyrococcus horikoshii
P19881,3.1.3.41,Saccharomyces cerevisiae
P60472,2.5.1.31,Escherichia coli
Q3LGA9,unknown,Hydrogenobacter thermophilus
H8F9Y0,unknown,unknown
Q9RBF6,1.2.1.16,Cupriavidus necator
B7J3E3,unknown,Acidithiobacillus ferrooxidans
P53909,3.5.4.2,Saccharomyces cerevisiae
B2B629,3.2.1.4,Podospora anserina
Q8U4Q3,3.1.4.58,Pyrococcus furiosus
Q53U20,2.6.1.100,Streptomyces fradiae
Q2FZP6,6.3.2.7,Staphylococcus aureus
P19515,3.1.1.3,Rhizomucor miehei
Q8A5V9,unknown,Bacteroides thetaiotaomicron
Q6KZ98,1.13.11.27,Picrophilus torridus
Q1XGK8,unknown,Pseudomonas putida
A5N930,1.8.1.4,Clostridium kluyveri
I0CKV3,3.1.1.3,Yarrowia lipolytica
Q6RET3,unknown,Emericella nidulans
Q6ST35,2.4.1.152,Helicobacter pylori
Q9YDK6,unknown,Aeropyrum pernix
Q7CWR3,6.2.1.n2,Agrobacterium fabrum
Q0VPF8,6.2.1.5,Alcanivorax borkumensis
Q8U259,1.1.1.103,Pyrococcus furiosus
T2M2J4,unknown,Phanerodontia chrysosporium
Q47Q21,4.2.1.113,Thermobifida fusca
Q81BW8,1.-.-.-,Bacillus cereus
Q4U1A6,3.5.1.2,Micrococcus luteus
Q3HRV6,3.1.1.3,Yarrowia lipolytica
Q4X1A4,1.1.1.17,Aspergillus fumigatus
A2RNG5,2.7.2.1,Lactococcus lactis subsp. cremoris
P44969,3.4.21.72,Haemophilus influenzae
A4CYJ9,unknown,Pyrococcus horikoshii
I0J1I6,5.1.1.10,Pseudomonas taetrolens
B1HX72,1.1.1.244,Lysinibacillus sphaericus
Q8NIN8,3.1.1.3,Candida parapsilosis
P13154,1.4.1.9,Geobacillus stearothermophilus
Q97UH8,unknown,Saccharolobus solfataricus
F5CI28,3.2.1.8,Aspergillus niger
S6D3Q2,unknown,Frateuria aurantia
Q1AWQ0,unknown,Rubrobacter xylanophilus
Q581U6,3.1.2.6,Trypanosoma brucei brucei
A0NIJ1,unknown,Oenococcus oeni ATCC BAA-1163
Q9L555,2.4.1.327,Streptomyces galilaeus
Q2WG72,unknown,Gibberella zeae
O66837,6.3.4.15,Aquifex aeolicus
Q97UI4,3.2.1.21,Saccharolobus solfataricus
C0JP82,3.2.1.10,Bifidobacterium breve
P9WIJ3,3.5.1.88,Mycobacterium tuberculosis
A1IG83,unknown,Rhodococcus erythropolis
F9VMT6,3.1.3.11,Sulfurisphaera tokodaii
Q0KEG0,unknown,Cupriavidus necator
Q8ZYS2,3.2.2.27,Pyrobaculum aerophilum
Q9EZV6,3.2.1.18,Pasteurella multocida
Q2V983,unknown,Entamoeba invadens
Q5CYP8,6.1.1.2,Cryptosporidium parvum
A9XDF5,unknown,Moraxella catarrhalis
V5YW53,1.5.1.1,Azospirillum brasilense
O15635,unknown,Entamoeba histolytica
P00723,3.2.1.23,Kluyveromyces lactis
Q88E47,1.13.11.5,Pseudomonas putida
F9FU71,unknown,Fusarium oxysporum
Q969A8,2.7.1.1,Toxoplasma gondii
P24031,3.1.3.2,Saccharomyces cerevisiae
B5MGR2,3.2.1.55,Penicillium chrysogenum
O53444,unknown,Mycobacterium tuberculosis
Q9YE01,5.3.1.9,Aeropyrum pernix
Q6I7B6,5.4.2.7,Thermococcus kodakarensis
B4XEY3,unknown,Rhodococcus erythropolis
B1PK99,5.4.99.16,Meiothermus ruber
I7HFV7,3.5.1.81,Microbacterium natoriense
Q70XJ9,2.4.1.10,Fructilactobacillus sanfranciscensis
P9WQP7,unknown,Mycobacterium tuberculosis
Q2VA41,2.4.1.1,Chlamydomonas reinhardtii
G4T024,2.4.1.4,Methylotuvimicrobium alcaliphilum
O59925,3.2.1.15,Penicillium expansum
Q7LX61,3.4.19.1,Saccharolobus solfataricus
B7A9X4,unknown,unknown
P06169,4.1.1.-,Saccharomyces cerevisiae
Q9WZ49,3.4.24.-,Thermotoga maritima
A4GXA0,4.2.1.104,Pseudomonas oleovorans
Q9U493,3.1.3.16,Plasmodium falciparum
O67060,2.7.1.148,Aquifex aeolicus
A7UM95,unknown,Aureobasidium pullulans
Q7LXX6,unknown,Saccharolobus solfataricus
P00363,1.3.5.1,Escherichia coli
Q8P9S0,unknown,Xanthomonas campestris pv. campestris
Q5YLC0,3.2.1.14,Paracoccidioides brasiliensis
